CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
10577709,03/08/2019 10:22:00 AM,03/08/2019 02:11:17 PM,03/08/2019 02:11:17 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of 20TH ST and CAPP ST,20TH ST,9,Mission,MISSION,37.758697509766,-122.417961120605,"(37.75869751, -122.41796112)",Phone,
10577711,03/08/2019 10:22:41 AM,03/10/2019 07:55:38 AM,03/10/2019 07:55:38 AM,Closed,Self-Service Customer Requested Cancellation,HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"149 MORRIS ST, SAN FRANCISCO, CA, 94107",MORRIS ST,6,South of Market,SOUTHERN,37.776081751688,-122.401488259788,"(37.77608175, -122.40148826)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577711/photos
10577718,03/08/2019 10:23:00 AM,03/08/2019 05:20:07 PM,03/08/2019 05:20:07 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of UNION ST and LAGUNA ST,UNION ST,2,Union Street,NORTHERN,37.797714233398,-122.430557250977,"(37.79771423, -122.43055725)",Phone,
10577713,03/08/2019 10:23:00 AM,03/08/2019 03:01:00 PM,03/08/2019 03:01:00 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1840 FELL ST, SAN FRANCISCO, CA, 94117",FELL ST,5,Panhandle,PARK,37.77282333374,-122.448219299316,"(37.77282333, -122.4482193)",Phone,
10577724,03/08/2019 10:25:00 AM,03/18/2019 12:00:00 AM,03/18/2019 12:00:00 AM,Closed,No metal curb at this location -,DPW BSM Queue,Damaged Property,Damaged other,other,"39 FLOOD AVE, SAN FRANCISCO, CA, 94131",FLOOD AVE,7,Sunnyside,INGLESIDE,37.729800799897,-122.441669656078,"(37.7298008, -122.44166966)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577724/photos
10577731,03/08/2019 10:25:00 AM,03/08/2019 12:38:00 PM,03/08/2019 12:38:00 PM,Closed,sfpd 190671264,HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"10 ELGIN PARK, SAN FRANCISCO, CA, 94103",ELGIN PARK,8,Mint Hill,SOUTHERN,37.771301269531,-122.423355102539,"(37.77130127, -122.4233551)",Phone,
10577729,03/08/2019 10:25:00 AM,03/08/2019 10:10:15 PM,03/08/2019 10:10:15 PM,Closed,Request is a duplicate and has been previously reported as 10577729,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of EGBERT AVE and NEWHALL ST,EGBERT AVE,10,Bayview,BAYVIEW,37.726779937744,-122.399269104004,"(37.72677994, -122.3992691)",Phone,
10577732,03/08/2019 10:25:54 AM,,03/08/2019 10:45:18 AM,Open,open,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,303_Fare_Transfer_POP_Dispute,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10577733,03/08/2019 10:25:58 AM,03/08/2019 01:58:35 PM,03/08/2019 01:58:35 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"458 LYON ST, SAN FRANCISCO, CA, 94117",LYON ST,5,Panhandle,PARK,37.7751871,-122.4427206,"(37.7751871, -122.4427206)",Web,
10577736,03/08/2019 10:27:07 AM,03/08/2019 01:58:38 PM,03/08/2019 01:58:38 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,Intersection of GROVE ST and LYON ST,GROVE ST,5,Panhandle,PARK,37.7753062,-122.4429849,"(37.7753062, -122.4429849)",Web,
10577740,03/08/2019 10:28:00 AM,04/05/2019 06:29:27 AM,04/05/2019 06:29:27 AM,Closed,,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,About_to_fall,"2607 18TH AVE, SAN FRANCISCO, CA, 94116",18TH AVE,7,West Portal,TARAVAL,37.739154815674,-122.474487304688,"(37.73915482, -122.4744873)",Phone,
10577754,03/08/2019 10:30:00 AM,03/08/2019 12:38:36 PM,03/08/2019 12:38:36 PM,Closed,sfpd 190671264,Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"10 ELGIN PARK, SAN FRANCISCO, CA, 94103",ELGIN PARK,8,Mint Hill,SOUTHERN,37.771306816632,-122.423330114255,"(37.77130682, -122.42333011)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577754/photos
10577750,03/08/2019 10:30:38 AM,03/08/2019 03:14:33 PM,03/08/2019 03:14:33 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"502 BAKER ST, SAN FRANCISCO, CA, 94117",BAKER ST,5,Panhandle,PARK,37.7756967,-122.4410796,"(37.7756967, -122.4410796)",Web,
10577761,03/08/2019 10:32:00 AM,03/13/2019 04:43:03 PM,03/13/2019 04:43:03 PM,Closed,Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,201_Pass_Up_Did_Not_Wait_for_Transferee,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Phone,
10577760,03/08/2019 10:32:00 AM,03/08/2019 11:55:47 AM,03/08/2019 11:55:47 AM,Closed,Officer responded to request under CAD # 190671417. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,-  -,"100 HAMILTON ST, SAN FRANCISCO, CA, 94134",HAMILTON ST,9,Portola,BAYVIEW,37.72950538,-122.41106681,"(37.72950538, -122.41106681)",Phone,
10577758,03/08/2019 10:32:00 AM,03/08/2019 04:34:00 PM,03/08/2019 04:34:00 PM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"2211 26TH ST, SAN FRANCISCO, CA, 94107",26TH ST,10,Potrero Hill,BAYVIEW,37.75057220459,-122.401344299316,"(37.7505722, -122.4013443)",Phone,
10577767,03/08/2019 10:33:00 AM,03/09/2019 02:12:46 PM,03/09/2019 02:12:46 PM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note:",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of CHESLEY ST and HARRISON ST,CHESLEY ST,6,South of Market,SOUTHERN,37.774639129639,-122.407402038574,"(37.77463913, -122.40740204)",Phone,
10577764,03/08/2019 10:33:00 AM,03/08/2019 11:26:57 AM,03/08/2019 11:26:57 AM,Closed,Officer responded to request under CAD # 190671418. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Grey - Toyota Yaris - 7UUE285,"275 ELLIS ST, SAN FRANCISCO, CA, 94102",ELLIS ST,6,Tenderloin,TENDERLOIN,37.78513242613,-122.410639344607,"(37.78513243, -122.41063934)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577764/photos
10577776,03/08/2019 10:35:00 AM,03/08/2019 12:51:22 PM,03/08/2019 12:51:22 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1323 20TH AVE, SAN FRANCISCO, CA, 94122",20TH AVE,4,Outer Sunset,TARAVAL,37.763076782227,-122.478302001953,"(37.76307678, -122.478302)",Phone,
10577775,03/08/2019 10:35:00 AM,03/19/2019 12:50:00 PM,03/19/2019 12:50:00 PM,Closed,"Mark Dreger and Casey Hildreth, Livable Streets section.",SFMTA - Livable Streets Queue,General Request - MTA,request_for_service,traffic_engineering - request_for_service,Intersection of HAIGHT ST and OCTAVIA ST,HAIGHT ST,5,Lower Haight,NORTHERN,37.772956848145,-122.423759460449,"(37.77295685, -122.42375946)",Phone,
10577784,03/08/2019 10:39:00 AM,03/11/2019 05:02:00 PM,03/11/2019 05:02:00 PM,Closed,COMPLAINT GIVEN TO PCO TO ENFORCE REGULARLY,SFMTA - Parking Enforcement - G,General Request - MTA,complaint,parking_enforcement - complaint,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10577787,03/08/2019 10:40:00 AM,03/08/2019 04:04:01 PM,03/08/2019 04:04:01 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of 4TH AVE and CALIFORNIA ST,4TH AVE,2,Presidio Terrace,RICHMOND,37.785266876221,-122.462440490723,"(37.78526688, -122.46244049)",Phone,
10577800,03/08/2019 10:42:47 AM,,03/08/2019 10:45:14 AM,Open,open,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,601_Delay_No_Show,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10577801,03/08/2019 10:42:51 AM,03/08/2019 02:37:14 PM,03/08/2019 02:37:14 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of VALLEJO ST and VAN NESS AVE,VALLEJO ST,3,Pacific Heights,NORTHERN,37.796691894531,-122.423599243164,"(37.79669189, -122.42359924)",Integrated Agency,
10577804,03/08/2019 10:43:36 AM,03/09/2019 06:59:00 AM,03/09/2019 06:59:00 AM,Closed,,HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"8 BUCHANAN ST, SAN FRANCISCO, CA, 94102",BUCHANAN ST,8,Mint Hill,PARK,37.76982404161,-122.426374824733,"(37.76982404, -122.42637482)",Mobile/Open311,
10577815,03/08/2019 10:44:00 AM,03/09/2019 10:10:03 AM,03/09/2019 10:10:03 AM,Closed,meter shop has closed this request,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,Intersection of MAPLE ST and CALIFORNIA ST,MAPLE ST,2,Presidio Heights,RICHMOND,37.786209106445,-122.455047607422,"(37.78620911, -122.45504761)",Phone,
10577810,03/08/2019 10:44:00 AM,03/08/2019 11:35:28 AM,03/08/2019 11:35:28 AM,Closed,Police Officer responded to request under CAD # 190671456.  Issue reported could not be validated.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,silver -  - 7ZQM581,"530 MADRID ST, SAN FRANCISCO, CA, 94112",MADRID ST,11,Excelsior,INGLESIDE,37.72116728,-122.43330959,"(37.72116728, -122.43330959)",Phone,
10577812,03/08/2019 10:44:00 AM,03/08/2019 11:17:00 AM,03/08/2019 11:17:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 15TH ST and RAMONA AVE,15TH ST,8,Mission Dolores,MISSION,37.766368156057,-122.425137472815,"(37.76636816, -122.42513747)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577812/photos
10577809,03/08/2019 10:44:00 AM,03/18/2019 12:48:22 PM,03/18/2019 12:48:22 PM,Closed,"tree is no longer hitting building and will continue to be pruned/maintained within key map schedule 3/18/19 MD     Notes:tree is no longer hitting building, trees will continue to be maintained within key map schedule 3/18/19 MD .   BUF Action:Inspect. date completed - 3/18/2019.",DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Hitting_window_or_building,Intersection of MANSELL ST and BOWDOIN ST,MANSELL ST,9,Portola,BAYVIEW,37.719734191895,-122.407974243164,"(37.71973419, -122.40797424)",Phone,
10577814,03/08/2019 10:44:39 AM,03/10/2019 01:29:00 PM,03/10/2019 01:29:00 PM,Closed,,DPW Ops Queue,Litter Receptacles,Add_remove_garbage_can,N/A,"399 MONTICELLO ST, SAN FRANCISCO, CA, 94132",MONTICELLO ST,11,Ingleside,TARAVAL,37.721485,-122.470773,"(37.721485, -122.470773)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577814/photos
10577821,03/08/2019 10:46:00 AM,03/08/2019 11:29:14 AM,03/08/2019 11:29:14 AM,Closed,Officer responded to request under CAD # 190671455. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"1055 ASHBURY ST, SAN FRANCISCO, CA, 94117",ASHBURY ST,5,Ashbury Heights,PARK,37.7636922,-122.4467383,"(37.7636922, -122.4467383)",Web,
10577820,03/08/2019 10:46:08 AM,03/08/2019 12:19:25 PM,03/08/2019 12:19:25 PM,Closed,"Encampment Removed
Close Note:",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"23 GRACE ST, SAN FRANCISCO, CA, 94103",GRACE ST,6,South of Market,SOUTHERN,37.7753519,-122.415114,"(37.7753519, -122.415114)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577820/photos
10577829,03/08/2019 10:47:00 AM,03/08/2019 11:10:38 AM,03/08/2019 11:10:38 AM,Closed,Officer responded to request under CAD # 190671473.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,maroon - Honda Civic - 7NLE846,"59 LAIDLEY ST, SAN FRANCISCO, CA, 94131",LAIDLEY ST,8,Fairmount,INGLESIDE,37.74093734,-122.43130834,"(37.74093734, -122.43130834)",Phone,
10577828,03/08/2019 10:47:36 AM,03/20/2019 09:30:45 PM,03/20/2019 09:30:45 PM,Closed,Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Graffiti,Graffiti on Transit_Shelter_Platform,Transit_Shelter_Platform - Offensive,"290 HERMANN ST, SAN FRANCISCO, CA, 94117",HERMANN ST,5,Duboce Triangle,PARK,37.770309738491,-122.429916015179,"(37.77030974, -122.42991602)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577828/photos
10577836,03/08/2019 10:48:00 AM,,03/08/2019 11:15:06 AM,Open,accepted,DPW - Bureau of Street Environmental Services - G,General Request - PUBLIC WORKS,compliment,bses - compliment,Intersection of 4TH AVE and CLEMENT ST,4TH AVE,1,Inner Richmond,RICHMOND,37.783039093018,-122.462280273438,"(37.78303909, -122.46228027)",Phone,
10577841,03/08/2019 10:48:00 AM,03/12/2019 06:20:00 AM,03/12/2019 06:20:00 AM,Closed,03/11/2019 VEH GOA @0910 HOURS #85,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"290 HERMANN ST, SAN FRANCISCO, CA, 94117",HERMANN ST,5,Duboce Triangle,PARK,37.770291678587,-122.429937434234,"(37.77029168, -122.42993743)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577841/photos
10577838,03/08/2019 10:48:00 AM,03/12/2019 07:17:00 AM,03/12/2019 07:17:00 AM,Closed,03/11/2019 VEH GOA @1057 HOURS #168,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,gray - Chevrolet -  - 4XZG044,"39 SANTA MARINA ST, SAN FRANCISCO, CA, 94110",SANTA MARINA ST,9,Holly Park,INGLESIDE,37.740364074707,-122.422149658203,"(37.74036407, -122.42214966)",Phone,
10577833,03/08/2019 10:48:00 AM,03/13/2019 04:43:03 PM,03/13/2019 04:43:03 PM,Closed,Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,201_Pass_Up_Did_Not_Wait_for_Transferee,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Phone,
10577835,03/08/2019 10:48:18 AM,03/12/2019 12:19:55 PM,03/12/2019 12:19:55 PM,Closed,"Encampment Removed
Close Note: Encampment cleared from area",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"24 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,6,South of Market,SOUTHERN,37.77668732222,-122.410095865021,"(37.77668732, -122.41009587)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577835/photos
10577842,03/08/2019 10:49:00 AM,03/12/2019 10:34:33 AM,03/12/2019 10:34:33 AM,Closed,No Action Described,DPW BSM Queue,General Request - PUBLIC WORKS,request_for_service,dpw_other - request_for_service,"3012 TURK BLVD, SAN FRANCISCO, CA, 94118",TURK BLVD,1,Lone Mountain,RICHMOND,37.777654530104,-122.455680050116,"(37.77765453, -122.45568005)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577842/photos
10577848,03/08/2019 10:50:00 AM,03/08/2019 10:56:00 AM,03/08/2019 10:56:00 AM,Closed,SFFD TO HANDLE,PUC - Water - G,General Request - PUC,request_for_service,water - request_for_service,Intersection of CHESTNUT ST and MALLORCA WAY,CHESTNUT ST,2,Marina,NORTHERN,37.800682067871,-122.437301635742,"(37.80068207, -122.43730164)",Phone,
10577845,03/08/2019 10:50:00 AM,04/26/2019 10:31:42 AM,04/26/2019 10:31:42 AM,Closed,"Due to the implementation of Prop-E, resources are being
focused into priority 1 and priority 2 tree pruning requests as identified in
the recent tree census. A block pruning plan is in place for all of San
Francisco and maintenance of your tree will take place under these scheduled
routes. Your tree will be addressed at a later date under this scheduled
maintenance plan. Thank you for your pat",DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Hitting_window_or_building,Intersection of COLE ST and ALMA ST,COLE ST,5,Ashbury Heights,PARK,37.763198852539,-122.449432373047,"(37.76319885, -122.44943237)",Phone,
10577862,03/08/2019 10:52:00 AM,03/13/2019 12:00:00 AM,03/13/2019 12:00:00 AM,Closed,No Action Described,DPW BSM Queue,General Request - PUBLIC WORKS,complaint,bses - complaint,Intersection of CALIFORNIA ST and MONTGOMERY ST,CALIFORNIA ST,3,Financial District,CENTRAL,37.792850494385,-122.402763366699,"(37.79285049, -122.40276337)",Phone,
10577861,03/08/2019 10:52:00 AM,03/12/2019 12:34:00 PM,03/12/2019 12:34:00 PM,Closed,"Called cust, he said he already found the answer to his question.",PUC - Billing - G,General Request - PUC,customer_callback,billing - customer_callback,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Phone,
10577858,03/08/2019 10:52:00 AM,03/13/2019 05:16:49 PM,03/13/2019 05:16:49 PM,Closed,"Encampment Removed
Close Note:",Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"125 VALENCIA ST, SAN FRANCISCO, CA, 94103",VALENCIA ST,6,South of Market,SOUTHERN,37.771148681641,-122.422431945801,"(37.77114868, -122.42243195)",Phone,
10577860,03/08/2019 10:52:00 AM,03/13/2019 08:00:00 AM,03/13/2019 08:00:00 AM,Closed,03/12/2019 @1205 HRS #211,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"1891 16TH AVE, SAN FRANCISCO, CA, 94122",16TH AVE,7,Golden Gate Heights,TARAVAL,37.7527184,-122.4733477,"(37.7527184, -122.4733477)",Web,http://mobile311.sfgov.org/reports/10577860/photos
10577864,03/08/2019 10:53:00 AM,03/08/2019 12:51:34 PM,03/08/2019 12:51:34 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"901 OAK ST, SAN FRANCISCO, CA, 94117",OAK ST,5,Lower Haight,NORTHERN,37.773487091064,-122.434150695801,"(37.77348709, -122.4341507)",Phone,
10577871,03/08/2019 10:53:00 AM,03/15/2019 07:37:00 AM,03/15/2019 07:37:00 AM,Closed,03/14/2019  @1053 HRS #130,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"20 MIDCREST WAY, SAN FRANCISCO, CA, 94131",MIDCREST WAY,7,Midtown Terrace,PARK,37.7471823,-122.4495326,"(37.7471823, -122.4495326)",Web,
10577867,03/08/2019 10:53:18 AM,03/08/2019 08:49:00 PM,03/08/2019 08:49:00 PM,Closed,,311 Service Request Queue,General Request - 311CUSTOMERSERVICECENTER,request_for_service,311CustomerServiceCenter - request_for_service,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10577881,03/08/2019 10:54:52 AM,03/08/2019 04:55:05 PM,03/08/2019 04:55:05 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of BURROWS ST and GOETTINGEN ST,BURROWS ST,9,Portola,BAYVIEW,37.728058,-122.407108,"(37.728058, -122.407108)",Mobile/Open311,
10577887,03/08/2019 10:55:00 AM,03/08/2019 11:06:11 AM,03/08/2019 11:06:11 AM,Closed,This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,teal - Ford Taurus SE - 8gua469,"1949 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94115",GOLDEN GATE AVE,5,Western Addition,PARK,37.77806913,-122.44272516,"(37.77806913, -122.44272516)",Phone,
10577885,03/08/2019 10:55:00 AM,03/08/2019 11:18:00 AM,03/08/2019 11:18:00 AM,Closed,Per BUF this is private property and not the city's jurisdiction. Customer may wish to consider community boards or small claims court to work with the neighbor/tree owner.,311 Supervisor Queue,General Request - PUBLIC WORKS,request_for_service,buf - request_for_service,"754 10TH AVE, SAN FRANCISCO, CA, 94118",10TH AVE,1,Inner Richmond,RICHMOND,37.7741355896,-122.467926025391,"(37.77413559, -122.46792603)",Phone,
10577888,03/08/2019 10:55:00 AM,03/08/2019 01:36:21 PM,03/08/2019 01:36:21 PM,Closed,"Per HSOC team, duplicate",Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of OAK ST and OCTAVIA ST,OAK ST,5,Hayes Valley,NORTHERN,37.774801080519,-122.42413358106,"(37.77480108, -122.42413358)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577888/photos
10577895,03/08/2019 10:56:00 AM,03/08/2019 11:17:47 AM,03/08/2019 11:17:47 AM,Closed,Officer responded to request under CAD # 190671514.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,black - Mazda - 7EXW466,"1503 DOLORES ST, SAN FRANCISCO, CA, 94110",DOLORES ST,8,Noe Valley,INGLESIDE,37.74526645,-122.42427507,"(37.74526645, -122.42427507)",Phone,
10577899,03/08/2019 10:56:00 AM,03/08/2019 01:42:45 PM,03/08/2019 01:42:45 PM,Closed,Pickup completed.,Recology_Overflowing,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of SAN BRUNO AVE and BACON ST,SAN BRUNO AVE,9,Portola,BAYVIEW,37.727643,-122.40363,"(37.727643, -122.40363)",Mobile/Open311,
10577901,03/08/2019 10:56:00 AM,03/15/2019 06:01:00 AM,03/15/2019 06:01:00 AM,Closed,3-14-19 VEH GOA @ 1040 HOURS #211,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - PickupTruck,BROWN GRAY - FORD -  - 7VP5267,"2001 21ST AVE, SAN FRANCISCO, CA, 94116",21ST AVE,4,Outer Sunset,TARAVAL,37.750274658203,-122.478485107422,"(37.75027466, -122.47848511)",Phone,
10577893,03/08/2019 10:56:00 AM,03/08/2019 11:06:56 AM,03/08/2019 11:06:56 AM,Closed,This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Black - Toyota - 4MPZ598,"369 HARKNESS AVE, SAN FRANCISCO, CA, 94134",HARKNESS AVE,10,Visitacion Valley,INGLESIDE,37.71763774,-122.40426287,"(37.71763774, -122.40426287)",Phone,
10577900,03/08/2019 10:56:57 AM,03/10/2019 08:44:32 PM,03/10/2019 08:44:32 PM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note:",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"242 IVY ST, SAN FRANCISCO, CA, 94102",IVY ST,5,Civic Center,NORTHERN,37.777525,-122.422159,"(37.777525, -122.422159)",Mobile/Open311,
10577902,03/08/2019 10:57:21 AM,03/08/2019 05:50:45 PM,03/08/2019 05:50:45 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of LAGUNA ST and LOMBARD ST,LAGUNA ST,2,Marina,NORTHERN,37.800468444824,-122.431114196777,"(37.80046844, -122.4311142)",Integrated Agency,
10577905,03/08/2019 10:57:41 AM,03/08/2019 12:22:47 PM,03/08/2019 12:22:47 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of 17TH ST and CORBIN PL,17TH ST,8,Eureka Valley,PARK,37.762020388297,-122.44293231815,"(37.76202039, -122.44293232)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577905/photos
10577919,03/08/2019 11:00:00 AM,03/08/2019 12:24:00 PM,03/08/2019 12:24:00 PM,Closed,"BASED ON PICTURE PROVIDED, THIRD PARTY SERVICE ISSUE (PHONE / CABLE) / NO VALID CONTACT INFO TO NOTIFY",PG and E - Streetlights Queue,Damaged Property,Damaged other,other,"92 NIAGARA AVE, SAN FRANCISCO, CA, 94112",NIAGARA AVE,11,Cayuga,INGLESIDE,37.71686861295,-122.443210082243,"(37.71686861, -122.44321008)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577919/photos
10577924,03/08/2019 11:01:00 AM,03/08/2019 11:13:00 AM,03/08/2019 11:13:00 AM,Closed,"Electrical wires are the jurisdiction of PG&E, please call them at 800-743-5000.  Attempted to call customer, no contact information",311 Supervisor Queue,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"92 NIAGARA AVE, SAN FRANCISCO, CA, 94112",NIAGARA AVE,11,Cayuga,INGLESIDE,37.716877958772,-122.44325534452,"(37.71687796, -122.44325534)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577924/photos
10577929,03/08/2019 11:02:00 AM,03/11/2019 03:26:23 PM,03/11/2019 03:26:23 PM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note:",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"980 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,6,South of Market,SOUTHERN,37.780223846436,-122.406768798828,"(37.78022385, -122.4067688)",Phone,
10577933,03/08/2019 11:02:00 AM,03/13/2019 07:20:34 AM,03/13/2019 07:20:34 AM,Closed,"Case Resolved
Close Note: This task was assigned to night crew, they took care of the problem.",RPD Park Service Area 2 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Other,"Franklin Square, , SAN FRANCISCO, CA, 94110",Franklin Square,6,Mission,MISSION,37.765014648438,-122.409317016602,"(37.76501465, -122.40931702)",Phone,
10577927,03/08/2019 11:02:00 AM,03/08/2019 11:09:15 AM,03/08/2019 11:09:15 AM,Closed,"Encampment Removed
Close Note: already took care of this. citation issued and 1 moved along.",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of ILS LN and COLUMBUS AVE,ILS LN,3,North Beach,CENTRAL,37.796062469482,-122.404067993164,"(37.79606247, -122.40406799)",Phone,
10577928,03/08/2019 11:02:04 AM,03/08/2019 04:11:46 PM,03/08/2019 04:11:46 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of 22ND ST and TREAT AVE,22ND ST,9,Mission,MISSION,37.755772,-122.4133268,"(37.755772, -122.4133268)",Web,
10577932,03/08/2019 11:02:43 AM,03/08/2019 11:04:00 AM,03/08/2019 11:04:00 AM,Closed,"Duplicate, see original SR # 10577919.  If you are concerned about a potential live wire please call PGE at 800-743-5000.",311 Supervisor Queue,Damaged Property,Damaged other,other,"92 NIAGARA AVE, SAN FRANCISCO, CA, 94112",NIAGARA AVE,11,Cayuga,INGLESIDE,37.716949462891,-122.443261044214,"(37.71694946, -122.44326104)",Mobile/Open311,http://mobile311.sfgov.org/reports/10577932/photos
